20241129_02:57:01,MSG,EasyInputOrder Begin! 
20241129_02:57:01,MSG,FG501, vol:1, P:1247.00, OpenClose: CloseTodayThenYd(0)  OrderType:Limit
20241129_02:57:01,MSG,FG501, Pos: S,Total:0,Today:0
20241129_02:57:01,IO,FG501, Ref:2036, P:1247.00, V:1 B OpenClose:open 
20241129_02:57:01,MSG,EasyInputOrder End!  

20241129_02:57:01,MSG,EasyInputOrder Begin! 
20241129_02:57:01,MSG,SA501, vol:1, P:1503.00, OpenClose: CloseTodayThenYd(0)  OrderType:Limit
20241129_02:57:01,MSG,SA501, Pos: S,Total:0,Today:0
20241129_02:57:01,IO,SA501, Ref:4074, P:1503.00, V:1 B OpenClose:open 
20241129_02:57:01,MSG,EasyInputOrder End!  

